Lattices initiated in 0.26 seconds
Specimen build in 0.11 seconds
         1405761 function calls (1404470 primitive calls) in 6.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45000    5.374    0.000    5.436    0.000 shape_base.py:219(vstack)
        1    0.427    0.427    5.923    5.923 specimen.py:56(point_mass_arrays)
    14334    0.079    0.000    0.127    0.000 array_list.py:286(insert)
2322/2312    0.074    0.000    0.076    0.000 {method 'sub' of 're.Pattern' objects}
    45000    0.045    0.000    0.055    0.000 shape_base.py:81(atleast_2d)
    14334    0.043    0.000    0.292    0.000 raw_point_collection.py:94(append)
    73747    0.042    0.000    0.042    0.000 {built-in method numpy.array}
    14334    0.039    0.000    0.237    0.000 base_collection.py:231(append)
        1    0.023    0.023    6.390    6.390 specimen.py:250(plot_2d)
    28668    0.021    0.000    0.027    0.000 numeric.py:136(ones)
        1    0.020    0.020    0.020    0.020 glfw.py:610(glfwCreateWindow)
        1    0.019    0.019    0.019    0.019 backend_glfw_deprecated.py:69(__init__)
    14334    0.016    0.000    0.016    0.000 {method 'astype' of 'numpy.ndarray' objects}
133679/133526    0.012    0.000    0.014    0.000 {built-in method builtins.len}
    45000    0.011    0.000    0.026    0.000 shape_base.py:215(_vhstack_dispatcher)
    45000    0.010    0.000    0.015    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
    43002    0.010    0.000    0.010    0.000 {built-in method numpy.empty}
    14334    0.008    0.000    0.008    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
    15000    0.007    0.000    0.008    0.000 unit_cell.py:15(__iter__)
        3    0.007    0.002    0.007    0.002 {method 'poll' of 'select.poll' objects}
    14334    0.006    0.000    0.137    0.000 array_list.py:395(append)
    95697    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
    14334    0.005    0.000    0.005    0.000 {method 'repeat' of 'numpy.ndarray' objects}
    45182    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
    14334    0.005    0.000    0.005    0.000 {built-in method numpy.arange}
    14364    0.005    0.000    0.011    0.000 fromnumeric.py:53(_wrapfunc)
    14334    0.004    0.000    0.016    0.000 fromnumeric.py:423(repeat)
    93281    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    90030    0.004    0.000    0.004    0.000 {built-in method numpy.asanyarray}
    28766    0.003    0.000    0.003    0.000 {method 'ravel' of 'numpy.ndarray' objects}
    43002    0.003    0.000    0.003    0.000 base_collection.py:213(vtype)
    43003    0.003    0.000    0.003    0.000 base_collection.py:225(utype)
    45030    0.003    0.000    0.003    0.000 multiarray.py:153(concatenate)
     7886    0.003    0.000    0.003    0.000 glob.py:141(_iterdir)
    45000    0.002    0.000    0.002    0.000 shape_base.py:77(_atleast_2d_dispatcher)
    28668    0.002    0.000    0.002    0.000 multiarray.py:1080(copyto)
       30    0.002    0.000    0.002    0.000 fromnumeric.py:1407(resize)
    29237    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      129    0.002    0.000    0.003    0.000 parser.py:82(get_declarations)
    28668    0.002    0.000    0.002    0.000 array_list.py:142(__len__)
     7894    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
    15001    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
    14420    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     3338    0.001    0.000    0.006    0.000 __init__.py:272(_compile)
    14334    0.001    0.000    0.001    0.000 fromnumeric.py:419(_repeat_dispatcher)
    14353    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
    14334    0.001    0.000    0.001    0.000 base_collection.py:219(itype)
    14334    0.001    0.000    0.001    0.000 multiarray.py:741(dot)
    14334    0.001    0.000    0.001    0.000 array_list.py:118(size)
