Lattices initiated in 0.27 seconds
Specimen build in 0.12 seconds
         231495 function calls (230204 primitive calls) in 0.248 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2322/2312    0.076    0.000    0.079    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.043    0.043    0.059    0.059 specimen.py:56(point_mass_arrays)
        1    0.021    0.021    0.021    0.021 glfw.py:610(glfwCreateWindow)
        1    0.019    0.019    0.019    0.019 backend_glfw_deprecated.py:69(__init__)
    48130    0.015    0.000    0.015    0.000 {built-in method numpy.array}
     1526    0.009    0.000    0.014    0.000 array_list.py:286(insert)
        3    0.007    0.002    0.007    0.002 {method 'poll' of 'select.poll' objects}
     1526    0.005    0.000    0.031    0.000 raw_point_collection.py:94(append)
     1526    0.004    0.000    0.026    0.000 base_collection.py:231(append)
     7888    0.003    0.000    0.003    0.000 glob.py:141(_iterdir)
        1    0.003    0.003    0.248    0.248 specimen.py:252(plot_2d)
    15000    0.002    0.000    0.003    0.000 unit_cell.py:15(__iter__)
     3052    0.002    0.000    0.003    0.000 numeric.py:136(ones)
      129    0.002    0.000    0.003    0.000 parser.py:82(get_declarations)
     7896    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     1526    0.002    0.000    0.002    0.000 {method 'astype' of 'numpy.ndarray' objects}
     3338    0.001    0.000    0.006    0.000 __init__.py:272(_compile)
11828/11675    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.001    0.001    0.001    0.001 specimen.py:104(_limit_to_extend)
      254    0.001    0.000    0.072    0.000 snippet.py:350(mangled_code)
     7882    0.001    0.000    0.002    0.000 glob.py:108(<genexpr>)
     4579    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
   114/29    0.001    0.000    0.002    0.000 _parser.py:507(_parse)
       14    0.001    0.000    0.004    0.000 fnmatch.py:48(filter)
    12261    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
     1526    0.001    0.000    0.001    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
     1526    0.001    0.000    0.015    0.000 array_list.py:395(append)
     2191    0.001    0.000    0.074    0.000 __init__.py:178(sub)
